VARNAMES: GALID RA_GAL  DEC_GAL      ZTRUE      ZERR     ZPHOT  ZPHOTERR    logsfr   logmass  logssfr  sdssu_fit  sdssg_fit  sdssr_fit  sdssi_fit  sdssz_fit 2massj_fit 2massh_fit hst_f606w_obs hst_f814w_obs hst_f125w_obs  hst_f140w_obs  hst_f160w_obs wfirst_j129_obs wfirst_h158_obs n0_Sersic a0_Sersic b0_Sersic a_rot coeff_specbasis00 coeff_specbasis01 coeff_specbasis02 coeff_specbasis03 coeff_specbasis04 coeff_specbasis05 coeff_specbasis06 coeff_specbasis07 coeff_specbasis08 coeff_specbasis09 coeff_specbasis10 coeff_specbasis11 coeff_specbasis12


GAL: 100006  215.30380  53.05212    0.7217    0.0295    0.7217    0.0295   -0.3900    8.5100   -8.9000   24.28   23.82   23.72   23.94   23.91   23.58   23.60   24.35   23.95   23.89 -999.00   23.92   24.75   23.80    0.8969    0.2655    0.1160  130.1453 4.52121e+14 0.00000e+00 0.00000e+00 2.79498e+14 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.06140e+14
GAL: 100008  215.30321  53.05296    0.8557    0.2235    0.8557    0.2235   -0.9500    8.0800   -9.0400   26.59   26.09   25.71   25.67   25.51   25.83   27.09   26.69   26.18   25.61 -999.00   25.60   25.78   25.70    1.0807    0.1754    0.0559  162.4201 4.19462e+13 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 8.65245e+13
GAL: 100010  215.27869  53.03593    3.3584    0.1165    3.3584    0.1165    0.2900    9.4800   -9.1900   25.42   25.05   24.72   24.62   24.66   24.99   24.65   26.44   25.61   25.47 -999.00   25.39   25.58   25.18    0.8717    0.4599    0.1957  124.4195 1.13684e+14 1.91886e+14 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
GAL: 100011  215.26611  53.02713    0.9720    0.0890    0.9720    0.0890    0.2000    8.4900   -8.2900   26.10   25.42   25.09   25.04   25.08   25.58   23.97   26.30   25.61   24.95 -999.00   25.03   23.97   25.08    1.5895    0.1642    0.1626  114.6627 0.00000e+00 1.82834e+14 0.00000e+00 0.00000e+00 2.64131e+13 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.93094e+14
GAL: 100012  215.26518  53.02699    1.7448    0.3680    1.7448    0.3680   -0.7100    9.0500   -9.7600   27.35   26.37   26.12   26.11   26.00   25.54   25.06   27.05   27.45   26.18 -999.00   26.25   26.10   26.21    0.3631    0.2028    0.0542   37.0807 1.31914e+13 0.00000e+00 0.00000e+00 5.93819e+13 0.00000e+00 0.00000e+00 3.13080e+13 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 5.77445e+13
GAL: 100013  215.30077  53.05124    1.3049    0.0360    1.3049    0.0360   -0.7100   10.4600  -11.1700   24.59   23.27   22.39   21.91   21.47   20.95   20.64   26.26   24.74   22.88 -999.00   22.19   21.51   22.24    0.7451    0.3889    0.1890    3.0587 1.96134e+13 0.00000e+00 0.00000e+00 0.00000e+00 3.25645e+14 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 3.90424e+15 1.11325e+15 3.60504e+15
GAL: 100014  215.29909  53.05103    0.9378    0.0580    0.9378    0.0580   -0.3300    7.9900   -8.3200   26.55   26.06   25.98   25.94   25.93   26.16   24.41   27.26   26.33   25.95 -999.00   25.85   25.68   25.85    0.8352    0.1010    0.1001  152.8798 5.32605e+13 1.41366e+13 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.32557e+14
GAL: 100016  215.29367  53.04747    0.0209    0.0145    0.0209    0.0145   -3.3200    4.3500   -7.6700   25.77   25.57   25.48   25.42   25.19   24.72   24.48   25.85   25.80   24.91 -999.00   24.74 -999.02   24.85    0.6693    0.1956    0.0610   76.2297 1.18596e+14 0.00000e+00 1.89905e+14 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.66864e+15
