# wavelength_angstroms eazyspectemp00 eazyspectemp01 eazyspectemp02 eazyspectemp03 eazyspectemp04 eazyspectemp05 eazyspectemp06 eazyspectemp07 eazyspectemp08 eazyspectemp09 eazyspectemp10 eazyspectemp11 eazyspectemp12
91.0 5.01609e-07 1.043384e-08 5.373834e-07 1.647861e-07 1.989052e-09 2.813256e-07 2.193462e-07 7.825748e-10 6.233038e-09 9.219884e-10 3.336814e-10 1.518908e-10 8.100483e-12
94.0 4.733609e-07 1.053114e-08 5.217985e-07 1.656659e-07 1.976663e-09 2.807487e-07 2.184843e-07 7.749598e-10 6.297148e-09 1.143864e-09 3.318565e-10 1.51416e-10 8.067082e-12
96.0 5.771417e-07 1.289033e-08 6.299822e-07 1.981136e-07 2.430888e-09 3.461067e-07 2.686829e-07 9.441356e-10 7.464985e-09 1.472547e-09 4.056088e-10 1.854019e-10 9.871115e-12
98.0 7.377429e-07 2.071487e-08 8.428192e-07 2.893533e-07 3.806536e-09 5.428087e-07 4.217311e-07 1.400885e-09 1.33656e-08 1.836129e-09 6.173066e-10 2.862782e-10 1.516446e-11
100.0 7.588171e-07 2.893708e-08 1.35116e-06 5.857537e-07 5.523514e-09 8.077397e-07 6.589347e-07 2.268112e-09 3.851649e-08 6.83142e-09 9.937634e-10 4.660821e-10 2.435992e-11
102.0 4.650935e-07 1.574676e-08 7.457344e-07 3.166551e-07 3.069008e-09 4.604928e-07 3.72748e-07 1.266183e-09 1.565117e-08 3.904083e-09 5.546474e-10 2.593054e-10 1.354687e-11
104.0 6.524953e-07 2.245445e-08 1.225427e-06 5.485394e-07 4.355281e-09 6.528e-07 5.403771e-07 1.955243e-09 2.885128e-08 6.53408e-09 8.394714e-10 3.897412e-10 2.035977e-11
106.0 7.581298e-07 3.537241e-08 1.693594e-06 8.232246e-07 6.798244e-09 9.674054e-07 8.355955e-07 2.892141e-09 7.299496e-08 1.460854e-08 1.267448e-09 6.022441e-10 3.124552e-11
108.0 7.09317e-07 3.675612e-08 1.6558e-06 8.207589e-07 7.081223e-09 9.790786e-07 8.619404e-07 2.909982e-09 8.649812e-08 1.629007e-08 1.287501e-09 6.179139e-10 3.198e-11
110.0 8.540966e-07 4.721369e-08 2.057383e-06 1.056074e-06 9.08425e-09 1.249486e-06 1.115132e-06 3.716638e-09 1.206115e-07 2.528905e-08 1.65312e-09 7.986478e-10 4.123066e-11
114.0 5.452554e-07 2.364422e-08 1.232356e-06 6.022878e-07 4.606883e-09 6.584315e-07 5.808367e-07 2.045809e-09 5.043506e-08 1.407247e-08 8.878778e-10 4.211328e-10 2.182007e-11
118.0 7.261268e-07 3.296288e-08 1.536045e-06 7.044598e-07 6.256066e-09 9.036156e-07 7.630374e-07 2.605882e-09 5.270944e-08 1.374479e-08 1.144334e-09 5.414004e-10 2.816008e-11
121.0 8.433901e-07 5.013444e-08 2.159444e-06 1.184713e-06 9.724353e-09 1.310511e-06 1.265467e-06 4.051784e-09 1.515842e-07 4.917211e-08 1.811474e-09 8.894235e-10 4.554438e-11
125.0 8.361883e-07 5.133867e-08 2.233409e-06 1.264927e-06 1.004465e-08 1.335476e-06 1.322876e-06 4.229171e-09 1.746283e-07 6.492339e-08 1.892888e-09 9.368579e-10 4.781467e-11
127.0 7.495756e-07 3.738775e-08 1.879479e-06 1.033522e-06 7.422518e-09 1.041009e-06 1.01044e-06 3.366783e-09 1.117436e-07 5.125102e-08 1.479522e-09 7.210873e-10 3.688577e-11
128.0 6.975147e-07 4.020064e-08 1.836317e-06 1.053346e-06 7.932186e-09 1.046969e-06 1.062928e-06 3.43264e-09 1.502663e-07 6.405888e-08 1.529862e-09 7.604507e-10 3.87235e-11
