
VARNAMES_WGTMAP: logssfr logmass  WGT SNMAG_SHIFT



WGT:  -50.000    3.000   86.528   0.00
WGT:  -50.000    3.500  273.626   0.00
WGT:  -50.000    4.000  865.280   0.00
WGT:  -50.000    4.500 2736.257   0.00
WGT:  -50.000    5.000 8652.805   0.00
WGT:  -50.000    5.500 27362.571   0.00
WGT:  -50.000    6.000 86528.047   0.00
WGT:  -50.000    6.500 273625.711   0.00
WGT:  -50.000    7.000 865280.474   0.00
WGT:  -50.000    7.500 2736257.112   0.00
WGT:  -50.000    8.000 8652804.738   0.00
WGT:  -50.000    8.500 27362571.120   0.00
WGT:  -50.000    9.000 86528047.376   0.00
WGT:  -50.000    9.500 273625711.197   0.00
WGT:  -50.000   10.000 865280473.764   0.04
WGT:  -50.000   10.500 2736257111.965   0.04
WGT:  -50.000   11.000 8652804737.644   0.04
WGT:  -50.000   11.500 27362571119.650   0.04
WGT:  -50.000   12.000 86528047376.438   0.04
WGT:  -50.000   12.500 273625711196.502   0.04
WGT:  -50.000   13.000 865280473764.382   0.04
WGT:  -49.500    3.000   86.528   0.00
WGT:  -49.500    3.500  273.626   0.00
WGT:  -49.500    4.000  865.280   0.00
WGT:  -49.500    4.500 2736.257   0.00
WGT:  -49.500    5.000 8652.805   0.00
WGT:  -49.500    5.500 27362.571   0.00
WGT:  -49.500    6.000 86528.047   0.00
WGT:  -49.500    6.500 273625.711   0.00
WGT:  -49.500    7.000 865280.474   0.00
WGT:  -49.500    7.500 2736257.112   0.00
WGT:  -49.500    8.000 8652804.738   0.00
WGT:  -49.500    8.500 27362571.120   0.00
WGT:  -49.500    9.000 86528047.376   0.00
WGT:  -49.500    9.500 273625711.197   0.00
WGT:  -49.500   10.000 865280473.764   0.04
WGT:  -49.500   10.500 2736257111.965   0.04
WGT:  -49.500   11.000 8652804737.644   0.04
WGT:  -49.500   11.500 27362571119.650   0.04
WGT:  -49.500   12.000 86528047376.438   0.04
WGT:  -49.500   12.500 273625711196.502   0.04
WGT:  -49.500   13.000 865280473764.382   0.04
WGT:  -49.000    3.000   86.528   0.00
WGT:  -49.000    3.500  273.626   0.00
WGT:  -49.000    4.000  865.280   0.00
WGT:  -49.000    4.500 2736.257   0.00
WGT:  -49.000    5.000 8652.805   0.00
WGT:  -49.000    5.500 27362.571   0.00
WGT:  -49.000    6.000 86528.047   0.00
WGT:  -49.000    6.500 273625.711   0.00
WGT:  -49.000    7.000 865280.474   0.00
WGT:  -49.000    7.500 2736257.112   0.00
WGT:  -49.000    8.000 8652804.738   0.00
WGT:  -49.000    8.500 27362571.120   0.00
WGT:  -49.000    9.000 86528047.376   0.00
WGT:  -49.000    9.500 273625711.197   0.00
WGT:  -49.000   10.000 865280473.764   0.04
WGT:  -49.000   10.500 2736257111.965   0.04
WGT:  -49.000   11.000 8652804737.644   0.04
WGT:  -49.000   11.500 27362571119.650   0.04
WGT:  -49.000   12.000 86528047376.438   0.04
WGT:  -49.000   12.500 273625711196.502   0.04
WGT:  -49.000   13.000 865280473764.382   0.04
WGT:  -48.500    3.000   86.528   0.00
WGT:  -48.500    3.500  273.626   0.00
WGT:  -48.500    4.000  865.280   0.00
